Codigo de Pais,Pais,Periodo,PIB (Millones de Euros),Indicador,Unidad,Anio
EE,Estonia,2023,20831.5,B1GQ,CLV10_MEUR,2023
EE,Estonia,2024,20812.7,B1GQ,CLV10_MEUR,2024
EL,Greece,2015,181536.8,B1GQ,CLV10_MEUR,2015
EL,Greece,2016,181479.1,B1GQ,CLV10_MEUR,2016
EL,Greece,2017,184152.5,B1GQ,CLV10_MEUR,2017
EL,Greece,2018,187954.7,B1GQ,CLV10_MEUR,2018
EL,Greece,2019,192234.8,B1GQ,CLV10_MEUR,2019
EL,Greece,2020,174556.4,B1GQ,CLV10_MEUR,2020
EL,Greece,2021,189663.4,B1GQ,CLV10_MEUR,2021
EL,Greece,2022,200136.6,B1GQ,CLV10_MEUR,2022
EL,Greece,2023,204411.3,B1GQ,CLV10_MEUR,2023
EL,Greece,2024,208676.5,B1GQ,CLV10_MEUR,2024
ES,Spain,2015,1082577.6,B1GQ,CLV10_MEUR,2015
ES,Spain,2016,1114136.4,B1GQ,CLV10_MEUR,2016
ES,Spain,2017,1146402.2,B1GQ,CLV10_MEUR,2017
ES,Spain,2018,1173863.3,B1GQ,CLV10_MEUR,2018
ES,Spain,2019,1196884.8,B1GQ,CLV10_MEUR,2019
ES,Spain,2020,1065944.8,B1GQ,CLV10_MEUR,2020
ES,Spain,2021,1137183.4,B1GQ,CLV10_MEUR,2021
ES,Spain,2022,1209625.6,B1GQ,CLV10_MEUR,2022
ES,Spain,2023,1239392.8,B1GQ,CLV10_MEUR,2023
ES,Spain,2024,1282216.9,B1GQ,CLV10_MEUR,2024
EU27_2020,European Union - 27 countries (from 2020),2015,11612341.8,B1GQ,CLV10_MEUR,2015
EU27_2020,European Union - 27 countries (from 2020),2016,11835290.9,B1GQ,CLV10_MEUR,2016
EU27_2020,European Union - 27 countries (from 2020),2017,12168295.7,B1GQ,CLV10_MEUR,2017
EU27_2020,European Union - 27 countries (from 2020),2018,12417211.6,B1GQ,CLV10_MEUR,2018
EU27_2020,European Union - 27 countries (from 2020),2019,12650098.0,B1GQ,CLV10_MEUR,2019
EU27_2020,European Union - 27 countries (from 2020),2020,11946518.7,B1GQ,CLV10_MEUR,2020
EU27_2020,European Union - 27 countries (from 2020),2021,12705292.9,B1GQ,CLV10_MEUR,2021
EU27_2020,European Union - 27 countries (from 2020),2022,13155700.7,B1GQ,CLV10_MEUR,2022
EU27_2020,European Union - 27 countries (from 2020),2023,13213544.4,B1GQ,CLV10_MEUR,2023
EU27_2020,European Union - 27 countries (from 2020),2024,13353133.7,B1GQ,CLV10_MEUR,2024
FI,Finland,2015,187826.2,B1GQ,CLV10_MEUR,2015
FI,Finland,2016,192657.0,B1GQ,CLV10_MEUR,2016
FI,Finland,2017,199021.1,B1GQ,CLV10_MEUR,2017
FI,Finland,2018,201395.4,B1GQ,CLV10_MEUR,2018
FI,Finland,2019,204113.7,B1GQ,CLV10_MEUR,2019
FI,Finland,2020,199029.2,B1GQ,CLV10_MEUR,2020
FI,Finland,2021,204355.9,B1GQ,CLV10_MEUR,2021
FI,Finland,2022,205915.2,B1GQ,CLV10_MEUR,2022
FI,Finland,2023,203981.5,B1GQ,CLV10_MEUR,2023
FI,Finland,2024,204830.4,B1GQ,CLV10_MEUR,2024
FR,France,2015,2107347.3,B1GQ,CLV10_MEUR,2015
FR,France,2016,2125471.2,B1GQ,CLV10_MEUR,2016
FR,France,2017,2169757.8,B1GQ,CLV10_MEUR,2017
FR,France,2018,2205470.1,B1GQ,CLV10_MEUR,2018
FR,France,2019,2250184.8,B1GQ,CLV10_MEUR,2019
FR,France,2020,2082756.5,B1GQ,CLV10_MEUR,2020
FR,France,2021,2226098.8,B1GQ,CLV10_MEUR,2021
FR,France,2022,2286576.7,B1GQ,CLV10_MEUR,2022
FR,France,2023,2319485.4,B1GQ,CLV10_MEUR,2023
FR,France,2024,2347098.1,B1GQ,CLV10_MEUR,2024
HR,Croatia,2015,45629.5,B1GQ,CLV10_MEUR,2015
HR,Croatia,2016,47211.3,B1GQ,CLV10_MEUR,2016
HR,Croatia,2017,48761.7,B1GQ,CLV10_MEUR,2017
HR,Croatia,2018,50181.1,B1GQ,CLV10_MEUR,2018
HR,Croatia,2019,51737.5,B1GQ,CLV10_MEUR,2019
HR,Croatia,2020,47437.7,B1GQ,CLV10_MEUR,2020
HR,Croatia,2021,53430.1,B1GQ,CLV10_MEUR,2021
HR,Croatia,2022,57327.6,B1GQ,CLV10_MEUR,2022
HR,Croatia,2023,59484.0,B1GQ,CLV10_MEUR,2023
HR,Croatia,2024,61760.4,B1GQ,CLV10_MEUR,2024
HU,Hungary,2015,110474.2,B1GQ,CLV10_MEUR,2015
HU,Hungary,2016,113168.3,B1GQ,CLV10_MEUR,2016
HU,Hungary,2017,117835.6,B1GQ,CLV10_MEUR,2017
HU,Hungary,2018,124441.6,B1GQ,CLV10_MEUR,2018
HU,Hungary,2019,130759.7,B1GQ,CLV10_MEUR,2019
HU,Hungary,2020,125086.4,B1GQ,CLV10_MEUR,2020
HU,Hungary,2021,134121.3,B1GQ,CLV10_MEUR,2021
HU,Hungary,2022,139690.5,B1GQ,CLV10_MEUR,2022
HU,Hungary,2023,138549.1,B1GQ,CLV10_MEUR,2023
HU,Hungary,2024,139325.1,B1GQ,CLV10_MEUR,2024
IE,Ireland,2015,235793.4,B1GQ,CLV10_MEUR,2015
IE,Ireland,2016,238676.5,B1GQ,CLV10_MEUR,2016
IE,Ireland,2017,262804.0,B1GQ,CLV10_MEUR,2017
IE,Ireland,2018,283010.1,B1GQ,CLV10_MEUR,2018
IE,Ireland,2019,297083.9,B1GQ,CLV10_MEUR,2019
IE,Ireland,2020,318336.3,B1GQ,CLV10_MEUR,2020
IE,Ireland,2021,370092.1,B1GQ,CLV10_MEUR,2021
IE,Ireland,2022,397890.2,B1GQ,CLV10_MEUR,2022
IE,Ireland,2023,387798.2,B1GQ,CLV10_MEUR,2023
IE,Ireland,2024,397878.9,B1GQ,CLV10_MEUR,2024
IS,Iceland,2015,11813.3,B1GQ,CLV10_MEUR,2015
IS,Iceland,2016,12547.8,B1GQ,CLV10_MEUR,2016
IS,Iceland,2017,12985.1,B1GQ,CLV10_MEUR,2017
IS,Iceland,2018,13590.4,B1GQ,CLV10_MEUR,2018
IS,Iceland,2019,13745.0,B1GQ,CLV10_MEUR,2019
IS,Iceland,2020,12831.6,B1GQ,CLV10_MEUR,2020
IS,Iceland,2021,13496.3,B1GQ,CLV10_MEUR,2021
IS,Iceland,2022,14686.8,B1GQ,CLV10_MEUR,2022
IS,Iceland,2023,15448.5,B1GQ,CLV10_MEUR,2023
IS,Iceland,2024,15298.5,B1GQ,CLV10_MEUR,2024
IT,Italy,2015,1563289.6,B1GQ,CLV10_MEUR,2015
IT,Italy,2016,1582615.3,B1GQ,CLV10_MEUR,2016
IT,Italy,2017,1607995.7,B1GQ,CLV10_MEUR,2017
IT,Italy,2018,1621288.1,B1GQ,CLV10_MEUR,2018
IT,Italy,2019,1628246.1,B1GQ,CLV10_MEUR,2019
IT,Italy,2020,1483849.6,B1GQ,CLV10_MEUR,2020
IT,Italy,2021,1616373.2,B1GQ,CLV10_MEUR,2021
IT,Italy,2022,1694301.4,B1GQ,CLV10_MEUR,2022
IT,Italy,2023,1710832.6,B1GQ,CLV10_MEUR,2023
IT,Italy,2024,1722683.1,B1GQ,CLV10_MEUR,2024
LT,Lithuania,2015,34088.6,B1GQ,CLV10_MEUR,2015
LT,Lithuania,2016,34999.4,B1GQ,CLV10_MEUR,2016
LT,Lithuania,2017,36613.6,B1GQ,CLV10_MEUR,2017
LT,Lithuania,2018,38414.4,B1GQ,CLV10_MEUR,2018
LT,Lithuania,2019,40211.2,B1GQ,CLV10_MEUR,2019
LT,Lithuania,2020,40228.4,B1GQ,CLV10_MEUR,2020
LT,Lithuania,2021,42801.0,B1GQ,CLV10_MEUR,2021
LT,Lithuania,2022,43856.1,B1GQ,CLV10_MEUR,2022
LT,Lithuania,2023,44180.5,B1GQ,CLV10_MEUR,2023
LT,Lithuania,2024,45519.2,B1GQ,CLV10_MEUR,2024
LU,Luxembourg,2015,47159.1,B1GQ,CLV10_MEUR,2015
LU,Luxembourg,2016,49506.8,B1GQ,CLV10_MEUR,2016
LU,Luxembourg,2017,50158.9,B1GQ,CLV10_MEUR,2017
LU,Luxembourg,2018,50967.1,B1GQ,CLV10_MEUR,2018
LU,Luxembourg,2019,52368.4,B1GQ,CLV10_MEUR,2019
LU,Luxembourg,2020,52101.3,B1GQ,CLV10_MEUR,2020
LU,Luxembourg,2021,55711.7,B1GQ,CLV10_MEUR,2021
LU,Luxembourg,2022,55100.3,B1GQ,CLV10_MEUR,2022
LU,Luxembourg,2023,55155.1,B1GQ,CLV10_MEUR,2023
LU,Luxembourg,2024,55352.9,B1GQ,CLV10_MEUR,2024
LV,Latvia,2015,21017.4,B1GQ,CLV10_MEUR,2015
LV,Latvia,2016,21553.7,B1GQ,CLV10_MEUR,2016
LV,Latvia,2017,22286.3,B1GQ,CLV10_MEUR,2017
LV,Latvia,2018,23246.8,B1GQ,CLV10_MEUR,2018
LV,Latvia,2019,23403.8,B1GQ,CLV10_MEUR,2019
LV,Latvia,2020,22591.9,B1GQ,CLV10_MEUR,2020
LV,Latvia,2021,24160.3,B1GQ,CLV10_MEUR,2021
LV,Latvia,2022,24621.4,B1GQ,CLV10_MEUR,2022
LV,Latvia,2023,24389.6,B1GQ,CLV10_MEUR,2023
LV,Latvia,2024,24378.3,B1GQ,CLV10_MEUR,2024
ME,Montenegro,2015,3414.4,B1GQ,CLV10_MEUR,2015
ME,Montenegro,2016,3531.8,B1GQ,CLV10_MEUR,2016
ME,Montenegro,2017,3645.4,B1GQ,CLV10_MEUR,2017
ME,Montenegro,2018,3817.9,B1GQ,CLV10_MEUR,2018
ME,Montenegro,2019,3985.7,B1GQ,CLV10_MEUR,2019
ME,Montenegro,2020,3388.1,B1GQ,CLV10_MEUR,2020
ME,Montenegro,2021,3830.1,B1GQ,CLV10_MEUR,2021
ME,Montenegro,2022,4126.6,B1GQ,CLV10_MEUR,2022
