STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,BA,Bosnia and Herzegovina,2016,,14474.8,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,BA,Bosnia and Herzegovina,2017,,14944.3,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,BA,Bosnia and Herzegovina,2018,,15516.6,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,BA,Bosnia and Herzegovina,2019,,15964.3,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,BA,Bosnia and Herzegovina,2020,,15483.0,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,BA,Bosnia and Herzegovina,2021,,16627.5,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,BA,Bosnia and Herzegovina,2022,,17330.3,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,BA,Bosnia and Herzegovina,2023,,17675.9,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,BA,Bosnia and Herzegovina,2024,,18114.3,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,BE,Belgium,2015,,384344.5,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,BE,Belgium,2016,,388931.6,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,BE,Belgium,2017,,394666.3,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,BE,Belgium,2018,,402078.0,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,BE,Belgium,2019,,411900.3,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,BE,Belgium,2020,,392158.0,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,BE,Belgium,2021,,416685.4,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,BE,Belgium,2022,,433170.4,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,BE,Belgium,2023,,440595.5,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,BE,Belgium,2024,,445311.9,,p,provisional,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,BG,Bulgaria,2015,,40884.6,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,BG,Bulgaria,2016,,42122.1,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,BG,Bulgaria,2017,,43278.7,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,BG,Bulgaria,2018,,44287.2,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,BG,Bulgaria,2019,,45967.1,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,BG,Bulgaria,2020,,44526.8,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,BG,Bulgaria,2021,,48012.5,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,BG,Bulgaria,2022,,49973.2,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,BG,Bulgaria,2023,,50813.6,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,BG,Bulgaria,2024,,52534.7,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,CH,Switzerland,2015,,493595.9,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,CH,Switzerland,2016,,503806.9,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,CH,Switzerland,2017,,510672.7,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,CH,Switzerland,2018,,525280.3,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,CH,Switzerland,2019,,531278.9,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,CH,Switzerland,2020,,519900.3,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,CH,Switzerland,2021,,548804.7,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,CH,Switzerland,2022,,565510.7,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,CH,Switzerland,2023,,569375.0,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,CH,Switzerland,2024,,576790.1,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,CY,Cyprus,2015,,17904.4,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,CY,Cyprus,2016,,19081.4,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,CY,Cyprus,2017,,20178.7,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,CY,Cyprus,2018,,21444.3,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,CY,Cyprus,2019,,22704.3,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,CY,Cyprus,2020,,21973.0,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,CY,Cyprus,2021,,24477.4,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,CY,Cyprus,2022,,26502.6,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,CY,Cyprus,2023,,27461.9,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,CY,Cyprus,2024,,28544.1,,p,provisional,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,CZ,Czechia,2015,,172793.5,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,CZ,Czechia,2016,,177253.0,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,CZ,Czechia,2017,,186423.3,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,CZ,Czechia,2018,,191699.7,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,CZ,Czechia,2019,,198535.3,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,CZ,Czechia,2020,,188003.2,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,CZ,Czechia,2021,,195577.9,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,CZ,Czechia,2022,,201146.3,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,CZ,Czechia,2023,,201242.0,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,CZ,Czechia,2024,,203723.5,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,2015,,2843119.0,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,2016,,2906299.4,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,2017,,2987615.0,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,2018,,3021545.2,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,2019,,3051087.9,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,2020,,2925019.6,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,2021,,3039387.8,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,2022,,3094378.2,,p,provisional,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,2023,,3067468.0,,p,provisional,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DE,Germany,2024,,3052257.9,,p,provisional,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DK,Denmark,2015,,258566.6,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DK,Denmark,2016,,266512.4,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DK,Denmark,2017,,274658.3,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DK,Denmark,2018,,279767.0,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DK,Denmark,2019,,284554.9,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DK,Denmark,2020,,279489.5,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DK,Denmark,2021,,297657.1,,,,,
dataflow,ESTAT:NAMA_10_GDP$DEFAULTVIEW(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",B1GQ,Gross domestic product at market prices,DK,Denmark,2022,,298978.2,,,,,
